uuid,numAI,numMans,age0Data__hunger0,age0Data__hunger1,age0Data__hunger2,age0Data__hunger3,age0Data__hunger4,age1Data__hunger0,age1Data__hunger1,age1Data__hunger2,age1Data__hunger3,age1Data__hunger4,age2Data__hunger0,age2Data__hunger1,age2Data__hunger2,age2Data__hunger3,age2Data__hunger4,age3Data__hunger0,age3Data__hunger1,age3Data__hunger2,age3Data__hunger3,age3Data__hunger4,age4Data__hunger0,age4Data__hunger1,age4Data__hunger2,age4Data__hunger3,age2Data__hunger4,age0Data__military0,age0Data__military1,age0Data__military2,age0Data__military3,age0Data__military4,age1Data__military0,age1Data__military1,age1Data__military2,age1Data__military3,age1Data__military4,age2Data__military0,age2Data__military1,age2Data__military2,age2Data__military3,age2Data__military4,age3Data__military0,age3Data__military1,age3Data__military2,age3Data__military3,age3Data__military4,age4Data__military0,age4Data__military1,age4Data__military2,age4Data__military3,age4Data__military4,age0Data__population0,age0Data__population1,age0Data__population2,age0Data__population3,age0Data__population4,age1Data__population0,age1Data__population1,age1Data__population2,age1Data__population3,age1Data__population4,age2Data__population0,age2Data__population1,age2Data__population2,age2Data__population3,age2Data__population4,age3Data__population0,age3Data__population1,age3Data__population2,age3Data__population3,age3Data__population4,age4Data__population0,age4Data__population1,age4Data__population2,age4Data__population3,age4Data__population4,age0Data__science0,age0Data__science1,age0Data__science2,age0Data__science3,age0Data__science4,age1Data__science0,age1Data__science1,age1Data__science2,age1Data__science3,age1Data__science4,age2Data__science0,age2Data__science1,age2Data__science2,age2Data__science3,age2Data__science4,age3Data__science0,age3Data__science1,age3Data__science2,age3Data__science3,age3Data__science4,age4Data__science0,age4Data__science1,age4Data__science2,age4Data__science3,age4Data__science4,age0Data__security0,age0Data__security1,age0Data__security2,age0Data__security3,age0Data__security4,age1Data__security0,age1Data__security1,age1Data__security2,age1Data__security3,age1Data__security4,age2Data__security0,age2Data__security1,age2Data__security2,age2Data__security3,age2Data__security4,age3Data__security0,age3Data__security1,age3Data__security2,age3Data__security3,age3Data__security4,age4Data__security0,age4Data__security1,age4Data__security2,age4Data__security3,age4Data__security4,age0Data__time0,age0Data__time1,age0Data__time2,age0Data__time3,age0Data__time4,age1Data__time0,age1Data__time1,age1Data__time2,age1Data__time3,age1Data__time4,age2Data__time0,age2Data__time1,age2Data__time2,age2Data__time3,age2Data__time4,age3Data__time0,age3Data__time1,age3Data__time2,age3Data__time3,age3Data__time4,age4Data__time0,age4Data__time1,age4Data__time2,age4Data__time3,age4Data__time4
009863a5-900a-4dd6-bcb1-6bb5821b1296,0,0,0.78,0.14,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.284,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,48.5,29.2,,,,,,,,,,,,,,,,,,,,,,,
0414a0e7-cf55-40cc-b2c6-def32ac90329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07347659-1ff5-4d74-ade2-98302be1c3b6,0,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,
0ee4afb2-97c3-4372-95f6-45d9652fb1ce,0,0,0.84,0.6,1,0.92,0.78,,,,,,,,,,,,,,,,,,,,,0.84,0.61,0.34,0.76,0.51,,,,,,,,,,,,,,,,,,,,,0.242,0.33,0.317,0.113,0.053,,,,,,,,,,,,,,,,,,,,,0.68,0.22,0.2,0.14,0.02,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,51.6,49.5,51.9,57.4,54.5,,,,,,,,,,,,,,,,,,,,
1355814f-bd43-42a7-bb5b-2506bb04d51b,1,0,0.82,0.76,0.72,0.68,0.64,0.6,0.68,0.76,0.84,0.92,1.08,1.16,1.24,1.32,1.4,1.56,1.64,1.72,1.8,1.88,2.04,2.12,2.2,2.28,2.36,0.82,0.77,0.74,1.2,1.26,1.12,1.2,1.28,1.46,1.64,1.76,1.54,1.42,1.5,1.53,1.53,1.61,1.49,1.52,1.7,1.77,1.85,1.84,1.87,2.1,0.241,0.338,0.337,0.135,0.138,0.081,0.13,0.329,0.478,0.427,0.525,0.514,0.563,0.512,0.661,0.659,0.608,0.632,0.581,0.69,0.798,0.847,0.796,0.845,0.854,0.64,0.54,0.66,0.68,1,1.92,1.9,2.26,2.24,2.7,3.62,3.6,3.58,3.94,4.1,3.6,4.16,4.92,5.28,5.84,6.06,6.04,6.1,5.66,5.52,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,50.6,58.8,59.2,59.1,59.2,57.4,57.4,60,59.9,60,59.9,60,60,60,59.9,60,59.9,60,60,59.9,60,59.9,60,60,59.9
149b8a26-dbbc-457e-87dd-cd1fdababb47,0,0,0.76,0.44,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.39,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.319,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,47.3,45.1,,,,,,,,,,,,,,,,,,,,,,,
15f6f984-0bf5-4556-a74c-08663702a6cf,0,1,0.425,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,
1747423a-942a-49c5-b6d2-244c5bf68b40,0,0,0.6,0.35,0.35,0.325,0.275,,,,,,,,,,,,,,,,,,,,,0.88,0.59,0.3,0.5,0.09,,,,,,,,,,,,,,,,,,,,,0.244,0.329,0.392,0.153,0.137,,,,,,,,,,,,,,,,,,,,,0.76,0.18,0.02,0.1,0.4,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,53.1,46.6,41.6,45.3,49.9,,,,,,,,,,,,,,,,,,,,
1c35dc1f-b43f-41b8-8c39-b9e571515226,0,1,0.82,0.72,0.06,,,,,,,,,,,,,,,,,,,,,,,0.82,0.73,0.3,,,,,,,,,,,,,,,,,,,,,,,0.241,0.336,0.374,,,,,,,,,,,,,,,,,,,,,,,0.64,0.46,0.02,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,50.9,56.3,28.5,,,,,,,,,,,,,,,,,,,,,,
1df056db-e74d-4bf9-96da-c44b19206010,0,0,0.5,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.43,,,,,,,,,,,,,,,,,,,,,,,,0.191,0.272,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,49.3,44.4,,,,,,,,,,,,,,,,,,,,,,,
1f54b12e-f45a-4d5c-bf45-e45d6b549185,0,1,0.6,0.55,0.325,,,,,,,,,,,,,,,,,,,,,,,0.88,0.65,0.75,,,,,,,,,,,,,,,,,,,,,,,0.195,0.283,0.373,,,,,,,,,,,,,,,,,,,,,,,0.76,0.3,0.02,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,53.3,49.2,52.1,,,,,,,,,,,,,,,,,,,,,,
2156677c-1710-46ec-b351-8f882b177319,1,0,0.675,0.825,0.7,0.525,0.375,0.35,0.725,0.325,0.7,0.525,0.85,0.675,0.775,0.625,0.85,0.85,0.525,0.9,0.675,0.35,0.675,0.525,0.825,0.625,0.425,0.94,0.77,0.68,1.04,0.93,0.7,0.05,0.45,0.25,0,0.3,0.36,0.19,0,0.01,0.3,0.09,0,0,0.2,0.05,0.05,0.01,0,0.1,0.247,0.338,0.334,0.127,0.126,0.05,0.022,0.1,0.23,0.267,0.214,0.407,0.446,0.39,0.468,0.519,0.556,0.556,0.588,0.672,0.739,0.78,0.707,0.742,0.776,0.88,0.54,0.54,0.36,0.52,0.28,0.4,0.4,0.02,0,1.02,0.94,1.1,1.36,1.66,1.52,0.6,0.8,1.28,1.4,1.62,1.4,0.98,1.46,1.88,0.6,0.6,0.6,0.8,0.8,0.8,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,1,1,1,1,1,0.8,56.1,52.8,56.3,54.5,55.6,42.1,41.6,47.8,46.9,54.2,49.2,54.1,50.4,55.8,50.9,51.1,48.7,46.8,52.3,48.6,54.1,55.9,48.5,53,53.2
247b8819-a58e-4c30-ab75-5f86fb15710e,0,1,0.94,0.86,0.66,0.54,0.34,0.62,0.6,0.68,0.66,0.64,0.68,0.6,0.68,0.66,0.64,0.6,0.68,0.66,0.64,0.62,0.68,0.66,0.64,0.62,0.6,0.94,0.87,0.68,0.46,0.21,0.01,0.05,0.1,0.2,0.2,0.3,0.2,0.23,0.26,0.29,0.1,0.38,0.56,0.59,0.97,0.99,0.92,0.95,0.98,1.06,0.247,0.343,0.334,0.228,0.168,0.05,0.005,0.2,0.117,0,0.05,0.211,0.26,0.209,0.308,0.206,0.355,0.304,0.353,0.302,0.24,0.189,0.238,0.287,0.336,0.88,0.74,0.54,1.3,0.92,0.6,0.4,0.6,0.02,0.5,0.7,0.2,0.76,1.22,1.88,1.42,2.18,1.94,2.7,3.06,4.08,5.04,4.8,5.56,6.22,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.2,1,1,1,0.8,57,57.2,51.6,55.5,51.1,18.6,37.4,56.6,10.9,35.7,22.5,37.4,37.4,60,60,59.9,60,60,60,59.9,60,60,59.9,60,60
2712c27f-2228-4db4-ba7e-976cbf2082db,0,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,
2c0c67a9-ff4f-4805-a7dc-4eb949b6b58a,1,0,0.68,0.8,0.7,0.78,0.66,0.26,0.84,0.44,0.44,0.34,,,,,,,,,,,,,,,,0.46,0.11,0.3,0,0.1,0.01,0.1,0.4,0.2,0.2,,,,,,,,,,,,,,,,0.223,0.305,0.395,0.271,0.264,0.32,0.259,0.304,0.21,0.062,,,,,,,,,,,,,,,,0,0.02,0.02,1,1.2,1.5,1.48,0.68,0.02,0.5,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,,,,,,,,,,,,,,,,33.2,52.8,56.1,50.9,55.4,17,5.8,31.9,2,26.3,,,,,,,,,,,,,,,
39b60fb5-6182-4fa6-a81b-8aeb288ee83e,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39df512b-58d0-491e-bee2-fb7c62b7865f,0,0,0.65,0.525,0.325,0,0.65,0.525,0.325,0,,,,,,,,,,,,,,,,,,0.92,0.83,0.97,0.53,0.92,0.83,0.97,0.53,,,,,,,,,,,,,,,,,,0.197,0.292,0.384,0.267,0.197,0.292,0.384,0.267,,,,,,,,,,,,,,,,,,0.84,0.66,0.36,1,0.84,0.66,0.36,1,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8,,,,,,,,,,,,,,,,,55.3,56.1,53.2,48.4,55.3,56.1,53.2,48.4,,,,,,,,,,,,,,,,,
3c7371ae-afe5-4d03-b1da-f94cb6965234,0,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,,,,,,,,,,,,,,,,,,,,,
3e0dba83-3b17-4b39-a1f4-81d262903e82,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.163,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,
3e674164-b0c4-4ccd-ba40-189d61268de3,0,0,0.575,0.375,0.225,0.075,,,,,,,,,,,,,,,,,,,,,,0.86,0.71,0.89,1.25,,,,,,,,,,,,,,,,,,,,,,0.194,0.286,0.38,0.173,,,,,,,,,,,,,,,,,,,,,,0.72,0.42,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,52.7,53.6,55.4,55.6,,,,,,,,,,,,,,,,,,,,,
49f910af-bf7c-4d20-8e50-7e25e104821f,0,1,0.225,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,
50647d09-be91-4713-ab19-fb5b365d7e6b,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54992220-1b95-4f62-a243-440c73a30b82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bfff6e4-3630-4d28-836c-c7e4bb60c450,0,1,0.94,0.8,0.36,0.64,0.56,0.24,0.2,0.16,,,,,,,,,,,,,,,,,,0.94,0.81,0.55,0.83,0.68,0.3,0.05,0.4,,,,,,,,,,,,,,,,,,0.247,0.34,0.412,0.201,0.146,0.192,0.086,0.1,,,,,,,,,,,,,,,,,,0.88,0.62,0.02,0.1,0.02,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,56.3,54.7,39.6,55.8,57.3,30.9,19.4,11.6,,,,,,,,,,,,,,,,,
5ee653b9-e713-4e36-82b5-d6dcf3f6d92a,0,1,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.227,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,
63235804-d900-46fc-9b69-869863039878,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.205,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,24.9,24.9,,,,,,,,,,,,,,,,,,,,,,,
643b2249-3dc2-4d02-ae84-b99421de4205,0,0,0.78,0.62,0.5,0.34,0.2,,,,,,,,,,,,,,,,,,,,,0.78,0.63,0.81,1.01,0.89,,,,,,,,,,,,,,,,,,,,,0.239,0.331,0.425,0.21,0.204,,,,,,,,,,,,,,,,,,,,,0.56,0.26,0.04,0.1,0.4,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,48.9,54,55.1,53.8,54.1,,,,,,,,,,,,,,,,,,,,
6827d031-d358-4a9c-b194-26e9c4a096c9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
